name,description,link_url,code_url,type,categories,status
nwdata.org,"A directory of data portals, apps, & other resources related to civic tech in the Pacific Northwest.",,https://github.com/sethvincent/nwdata.org,,,
Duwamish River Cleanup,A community of residents and stakeholders who are monitoring the cleanup of toxic waste in Seattle's Duwamish River.,,https://github.com/smartercleanup/duwamish,,,
What Do I Do With...? recycling app,Dropoff locator for recyclables and other disposables in King County,,https://github.com/audreycarlsen/recycling_app,,,
Seattle in Progress,,,closed source?,,,
Seattle LocalWiki,,,http://github.com/localwiki/localwiki,,,
LocalWiki JavaScript client,Use the data from LocalWiki in your JavaScript projects!,,https://github.com/codeforseattle/node-localwiki-client,,,
LocalWiki Ruby client,Use the data from LocalWiki in your Ruby projects!,,https://github.com/codeforseattle/localwiki_client,,,
Citizen Input,A crowdsourcing platform for discovering great new candidates for public office and a real-time report of each candidate's relative popularity.,,https://github.com/citizen-input-project,,,
Seattle's Heritage Trees,,,https://github.com/tsibley/seattle-trees,,,
Seattle Miscellaneous Maps,"Mix and match maps, census, voting data for city council district demographics or anything else",,https://github.com/lucasw/gis,,,
Political Annotations Chrome Extension,,,https://github.com/typpo/political-annotations,,,
Seattle GeoJSON datasets,,,https://github.com/licyeus/seattle-geojson,,,
Seattle One Night Count datasets,,,https://github.com/licyeus/seattle-homeless-info,,,
seattle.io,A guide to Seattle neighborhoods & communities.,,https://github.com/seattleio,,,
ActivateHub,,,https://github.com/activate/ActivateHub,,,
DemocracyLab,"Participation environment for users, developers, and supporters of Civic Tech",,https://github.com/DemocracyLab,,,
Seattle Blogs,Tracking all the blogs and online publications in the Seattle area.,,https://github.com/sethvincent/seattle-blogs,,,
Streetlight Seattle Reporter,,,https://github.com/jsfrost/StreetlightSeattleReporter,,,
Live Music Project,,,closed source?,,,
Seattle Open Data Policy proposal,"",,http://bit.ly/SeattleDataPolicy,,,
Seattle Data Inventory,An inventory of the most interesting data available from data.seattle.gov,,http://seattlewiki.net/Open_Data_Resources,,,
Realtime Transit Data,,,https://github.com/domoritz/live-bus-seattle,,,
Stolen Bike App,,,https://github.com/lcdvirgo/stolenbikesSEA,,,
Seattle Icons,,,http://github.com/codeforseattle/seattle-icons,,,
Seattle Metro Cuts,,,http://github.com/codeforseattle/metrocuts,,,
Washington Homelessness,Goal is to provide a dashboard to access & visualize open data for homelessness,,https://github.com/livingwa,,,
Deglassified,A map of businesses with policies against Google Glass.,,https://github.com/licyeus/deglassified,,,
